ID,# of record,reaction time (seconds),time indicate,times of day,"stimulate (yes=1, no=0)",fatigue,hunger,"busy=1, light=0","illness(yes=1, no=0)",hour of sleep,"protocol(yes=1, no=0)",MEQ,Note,
30,1,0.422,1,10:20,0,5,5,0,0,9.5,1,45,,
30,2,0.309,2,15:05,0,1,6,0,0,9.5,1,45,,
30,3,0.431,3,19:45,0,1,5,0,0,9.5,1,45,,
30,4,0.408,4,0:30,0,4,4,0,0,9.5,1,45,,
30,5,0.513,1,8:00,0,6,4,1,0,7,1,45,,
30,6,0.354,2,13:30,0,1,6,1,0,7,1,45,,
30,7,0.411,3,17:25,0,2,5,1,0,7,1,45,,
30,8,0.655,4,23:15,0,5,4,1,0,7,1,45,,
31,1,0.518,1,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,,
31,2,0.462,2,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,,
31,3,0.481,3,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,,
31,4,0.605,4,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,,
31,5,0.529,1,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,,
31,6,0.481,2,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,,
31,7,0.552,3,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,,
31,8,0.645,4,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,,
32,1,0.4,1,13:30,0,4,3,0,0,12,1,38,,
32,2,0.333,2,17:43,0,3,6,0,0,12,1,38,,
32,3,0.431,3,21:48,1,3,5,0,0,12,1,38,,
32,4,#N/A,4,#N/A,#N/A,#N/A,#N/A,0,0,12,1,38,,
32,5,0.42,1,11:15,0,4,3,1,0,8,1,38,,
32,6,0.367,2,15:31,0,3,6,1,0,8,1,38,,
32,7,0.391,3,19:40,0,3,4,1,0,8,1,38,,
32,8,0.434,4,1:31,0,5,5,1,0,8,1,38,,
33,1,0.377,1,9:59,0,3,5,0,0,6.75,0,48,,
33,2,0.385,2,14:21,1,3,4,0,0,6.75,1,48,,
33,3,0.361,3,20:35,1,3,9,0,0,6.75,1,48,,
33,4,0.344,4,2:25,1,5,5,0,0,6.75,1,48,,
33,5,0.444,1,8:43,0,5,4,1,0,6,1,48,,
33,6,0.356,2,14:00,1,3,4,1,0,6,1,48,,
33,7,#N/A,3,#N/A,#N/A,#N/A,#N/A,1,0,6,#N/A,48,,
33,8,0.419,4,12:46,1,5,4,1,0,6,1,48,,
34,1,0.48,1,8:34,0,5,5,1,1,#N/A,1,55,,
34,2,0.318,2,14:12,1,4,4,1,1,#N/A,1,55,,
34,3,#N/A,3,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,0,55,forgot,
34,4,0.292,4,23:56,0,6,5,1,1,#N/A,1,55,,
